allele_name,pipeline_names,similar_names
IGHV4-E2ZN*04, IGHV4-E2ZN*04, 
IGHV4-EAIX*03, IGHV4-EAIX*03, 
IGHV4-EAIX*05, IGHV4-EAIX*05, 
IGHV4-EAIX*07, IGHV4-EAIX*07, 
IGHV4-EAIX*11, IGHV4-EAIX*11, 
IGHV4-EAIX*12, IGHV4-EAIX*12, 
IGHV4-EAIX*13, IGHV4-EAIX*13, 
IGHV4-EAIX*16, IGHV4-EAIX*16, 
IGHV4-EAIX*18, IGHV4-EAIX*18, 
IGHV4-EAIX*19, IGHV4-EAIX*19, 
IGHV4-EAIX*22, IGHV4-EAIX*22, 
IGHV4-EAIX*25, IGHV4-EAIX*25, 
IGHV4-EAIX*27, IGHV4-EAIX*27, 
IGHV4-EAIX*29, IGHV4-EAIX*29, 
IGHV4-EAIX*30, IGHV4-EAIX*30, 
IGHV4-EAIX*32, IGHV4-EAIX*32, 
IGHV4-EAIX*33, IGHV4-EAIX*33, 
IGHV4-EAIX*34, IGHV4-EAIX*34, 
IGHV4-EAIX*35, IGHV4-EAIX*35, 
IGHV4-EAIX*36, IGHV4-EAIX*36, 
IGHV4-EAIX*37, IGHV4-EAIX*37, 
IGHV4-EAIX*38, IGHV4-EAIX*38, 
